Feature Table,,,,,,,
Length Units,Millimeters,,,,,,
Coordinate Systems,world,,,,,,
Data Alignments,Gem. Objekte 1,,,,,,
,,,,,,,
Name,Control,Nom,Meas,Tol,Dev,Test,Out Tol
point 1,X,1022.286,1022.202,"±1,000",-0.084,Pass,
point 1,Y,42.282,42.519,"±1,000",0.237,Pass,
point 1,Z,14.965,16.615,"±1,000",1.650,Fail,0.650
point 2,X,975.826,975.727,"±1,000",-0.099,Pass,
point 2,Y,40.360,40.617,"±1,000",0.257,Pass,
point 2,Z,14.965,16.629,"±1,000",1.664,Fail,0.664
point 3,X,1001.384,1001.289,"±1,000",-0.095,Pass,
point 3,Y,209.968,209.998,"±1,000",0.030,Pass,
point 3,Z,14.965,16.262,"±1,000",1.297,Fail,0.297
point 4,X,955.874,955.779,"±1,000",-0.095,Pass,
point 4,Y,200.426,200.412,"±1,000",-0.014,Pass,
point 4,Z,14.965,16.148,"±1,000",1.183,Fail,0.183
point 5,X,953.167,953.015,"±1,000",-0.152,Pass,
point 5,Y,371.927,371.975,"±1,000",0.048,Pass,
point 5,Z,14.965,15.893,"±1,000",0.928,Pass,
point 6,X,909.848,909.695,"±1,000",-0.153,Pass,
point 6,Y,355.024,355.091,"±1,000",0.067,Pass,
point 6,Z,14.965,15.745,"±1,000",0.780,Pass,
point 7,X,878.950,878.834,"±1,000",-0.116,Pass,
point 7,Y,523.740,523.748,"±1,000",0.008,Pass,
point 7,Z,14.965,15.559,"±1,000",0.594,Pass,
point 8,X,839.004,838.914,"±1,000",-0.090,Pass,
point 8,Y,499.938,499.974,"±1,000",0.036,Pass,
point 8,Z,14.965,15.584,"±1,000",0.619,Pass,
point 9,X,780.757,780.508,"±1,000",-0.249,Pass,
point 9,Y,661.268,661.276,"±1,000",0.008,Pass,
point 9,Z,14.965,15.321,"±1,000",0.356,Pass,
point 10,X,745.274,745.026,"±1,000",-0.248,Pass,
point 10,Y,631.215,631.238,"±1,000",0.023,Pass,
point 10,Z,14.965,15.324,"±1,000",0.359,Pass,
point 11,X,661.268,661.061,"±1,000",-0.207,Pass,
point 11,Y,780.757,780.784,"±1,000",0.027,Pass,
point 11,Z,14.965,14.873,"±1,000",-0.092,Pass,
point 12,X,631.215,631.034,"±1,000",-0.181,Pass,
point 12,Y,745.274,745.288,"±1,000",0.014,Pass,
point 12,Z,14.965,14.919,"±1,000",-0.046,Pass,
point 13,X,523.740,523.610,"±1,000",-0.130,Pass,
point 13,Y,878.950,878.906,"±1,000",-0.044,Pass,
point 13,Z,14.965,14.661,"±1,000",-0.304,Pass,
point 14,X,499.938,499.762,"±1,000",-0.176,Pass,
point 14,Y,839.004,839.049,"±1,000",0.045,Pass,
point 14,Z,14.965,14.787,"±1,000",-0.178,Pass,
point 15,X,371.927,371.796,"±1,000",-0.131,Pass,
point 15,Y,953.167,953.101,"±1,000",-0.066,Pass,
point 15,Z,14.965,14.483,"±1,000",-0.482,Pass,
point 16,X,355.024,354.855,"±1,000",-0.169,Pass,
point 16,Y,909.848,909.803,"±1,000",-0.045,Pass,
point 16,Z,14.965,14.408,"±1,000",-0.557,Pass,
point 17,X,209.968,209.858,"±1,000",-0.110,Pass,
point 17,Y,1001.384,1001.385,"±1,000",0.001,Pass,
point 17,Z,14.965,14.621,"±1,000",-0.344,Pass,
point 18,X,200.426,200.341,"±1,000",-0.085,Pass,
point 18,Y,955.874,955.893,"±1,000",0.019,Pass,
point 18,Z,14.965,14.741,"±1,000",-0.224,Pass,
point 19,X,42.282,42.186,"±1,000",-0.096,Pass,
point 19,Y,1022.286,1022.199,"±1,000",-0.087,Pass,
point 19,Z,14.965,14.533,"±1,000",-0.432,Pass,
point 20,X,40.360,40.244,"±1,000",-0.116,Pass,
point 20,Y,975.826,975.794,"±1,000",-0.032,Pass,
point 20,Z,14.965,14.560,"±1,000",-0.405,Pass,
point 21,X,-126.557,-126.719,"±1,000",-0.162,Pass,
point 21,Y,1015.303,1015.133,"±1,000",-0.170,Pass,
point 21,Z,14.965,14.729,"±1,000",-0.236,Pass,
point 22,X,-120.806,-121.015,"±1,000",-0.209,Pass,
point 22,Y,969.160,968.992,"±1,000",-0.168,Pass,
point 22,Z,14.965,14.710,"±1,000",-0.255,Pass,
point 23,X,-291.945,-291.949,"±1,000",-0.004,Pass,
point 23,Y,980.625,980.861,"±1,000",0.236,Pass,
point 23,Z,14.965,14.959,"±1,000",-0.006,Pass,
point 24,X,-278.676,-278.783,"±1,000",-0.107,Pass,
point 24,Y,936.058,936.007,"±1,000",-0.051,Pass,
point 24,Z,14.965,14.617,"±1,000",-0.348,Pass,
point 25,X,-449.368,-449.437,"±1,000",-0.069,Pass,
point 25,Y,919.198,919.168,"±1,000",-0.030,Pass,
point 25,Z,14.965,14.828,"±1,000",-0.137,Pass,
point 26,X,-428.946,-428.998,"±1,000",-0.052,Pass,
point 26,Y,877.422,877.409,"±1,000",-0.013,Pass,
point 26,Z,14.965,14.772,"±1,000",-0.193,Pass,
point 27,X,-594.535,-594.640,"±1,000",-0.105,Pass,
point 27,Y,832.697,832.765,"±1,000",0.068,Pass,
point 27,Z,14.965,15.035,"±1,000",0.070,Pass,
point 28,X,-567.514,-567.611,"±1,000",-0.097,Pass,
